26/10/2025 23:00:29 | ADMIN | admin | INICIAR_SESION | EXITOSO | Usuario autenticado
26/10/2025 23:01:48 | SISTEMA | SISTEMA | LOGOUT | EXITOSO | Usuario regreso al login
26/10/2025 23:01:48 | SISTEMA | SISTEMA | LOGOUT | EXITOSO | Usuario regreso al login
